loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
101,55 Cnc d,55 Cnc,1,2,5,0,Radial Velocity,5574.2,5.957,,3.12,0.13,,,5172.0,0.94,0.91,0.35,[Fe/H],,,12.5855,0.002978352
106,55 Cnc e,55 Cnc,1,2,5,0,Radial Velocity,0.7365474,0.01544,0.167,0.02514,0.05,83.59,,5172.0,0.94,0.91,0.35,[Fe/H],,,12.5855,2.3998643999999998e-05
124,55 Cnc f,55 Cnc,1,2,5,0,Radial Velocity,259.88,0.7708,,0.1503,0.08,,,5172.0,0.94,0.91,0.35,[Fe/H],,,12.5855,0.00014347638
133,6 Lyn b,6 Lyn,1,1,1,0,Radial Velocity,919.86,2.028,,1.881,0.042,,K0 IV,4941.0,4.94,1.32,-0.17,[Fe/H],1.119,,54.6599,0.0017956026
136,61 Vir b,61 Vir,1,1,3,0,Radial Velocity,4.215,0.050201,,0.016,0.12,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332,1.52736e-05
138,61 Vir c,61 Vir,1,1,3,0,Radial Velocity,38.021,0.2175,,0.057,0.14,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332,5.44122e-05
139,61 Vir d,61 Vir,1,1,3,0,Radial Velocity,123.01,0.476,,0.072,0.35,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332,6.873119999999999e-05
142,7 CMa b,7 CMa,1,1,2,0,Radial Velocity,735.1,1.758,,1.85,0.06,90.0,,4826.0,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101,0.0017660100000000001
144,7 CMa c,7 CMa,1,1,2,0,Radial Velocity,996.0,2.153,,0.87,0.08,90.0,,4826.0,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101,0.000830502
147,70 Vir b,70 Vir,1,1,1,0,Radial Velocity,116.688,0.481,,7.416,0.3988,,,5495.0,1.89,1.09,,,,,17.9011,0.0070793136000000005
152,75 Cet b,75 Cet,1,2,2,0,Radial Velocity,696.62,1.912,,2.479,0.093,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],1.714,,82.9613,0.0023664534000000003
154,75 Cet c,75 Cet,1,2,2,0,Radial Velocity,2051.62,3.929,,0.912,0.023,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],1.714,,82.9613,0.0008705952
155,8 UMi b,8 UMi,1,1,1,0,Radial Velocity,93.4,0.49,,1.31,0.06,,,4847.0,10.3,1.44,-0.03,[Fe/H],,,162.552,0.001250526
159,81 Cet b,81 Cet,1,1,1,0,Radial Velocity,1005.57,2.104,,3.307,0.037,,G5 III,4734.0,11.21,1.23,-0.11,[Fe/H],1.76,,101.26,0.0031568622
160,91 Aqr b,91 Aqr,1,3,1,0,Radial Velocity,181.4,0.7,,3.2,0.027,,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],,3.56,44.0304,0.0030547200000000004
161,AB Aur b,AB Aur,1,1,1,0,Imaging,,93.9,,9.0,0.4,42.6,,9770.0,,2.4,,,1.771,0.003,162.127,0.0085914
162,AB Pic b,AB Pic,1,1,1,0,Imaging,,260.0,,13.5,,,K2 V,,,,,,,0.03,50.0475,0.0128871
164,AF Lep b,AF Lep,1,1,1,0,Imaging,8030.0,8.4,,3.2,0.24,50.0,F8 V,6130.0,1.25,1.2,0.19,[Fe/H],,0.024,26.8564,0.0030547200000000004
174,AU Mic b,AU Mic,1,1,3,0,Transit,8.4629991,0.0645,,0.0633,0.186,,,,,0.5,,,,,9.7221,6.042617999999999e-05
180,AU Mic c,AU Mic,1,1,3,0,Transit,18.858991,0.1101,,0.0302,,,,,,0.5,,,,,9.7221,2.8828920000000002e-05
182,AU Mic d,AU Mic,1,1,3,0,Transit Timing Variations,12.73596,,,0.00331,0.00305,89.318,,3678.0,0.74,0.51,0.23,[Fe/H],-1.038,0.02,9.7221,3.159726e-06
183,BD+03 2562 b,BD+03 2562,1,1,1,0,Radial Velocity,481.9,1.3,,6.4,0.2,,,4095.0,32.35,1.14,-0.71,[Fe/H],2.7,5.2,1070.63,0.006109440000000001
185,BD+14 4559 b,BD+14 4559,1,1,1,0,Radial Velocity,268.94,0.78,,1.04,0.29,,,4864.0,0.86,0.49,0.17,[Fe/H],,,49.352,0.000992784
186,BD+15 2375 b,BD+15 2375,1,1,1,0,Radial Velocity,153.22,0.576,,1.061,0.001,,,4649.0,8.95,1.08,-0.22,[Fe/H],1.57,7.41,768.045,0.0010128306
187,BD+15 2940 b,BD+15 2940,1,1,1,0,Radial Velocity,137.48,0.539,,1.11,0.26,,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.01,7.1,426.42,0.001059606
