x,sin(1x),sin(2x),sin(3x),sin(4x),sin(5x),sin(6x),sin(7x),sin(8x),sin(9x),sin(10x)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012591553721802777,0.01259122099845663,0.025180445720138524,0.037765678204770906,0.05034492312502874,0.06291618610288617,0.07547747402581544,0.08802679536278515,0.1005621604800079,0.11308158195638689,0.125583074898612
0.025183107443605555,0.025180445720138524,0.05034492312502874,0.07547747402581544,0.1005621604800079,0.125583074898612,0.15052435013401333,0.1753701695422144,0.20010477701304455,0.2247124869619821,0.24917769427725217
0.037774661165408334,0.037765678204770906,0.07547747402581544,0.11308158195638689,0.15052435013401333,0.18775235688857972,0.2247124869619821,0.26135200729060665,0.2976186422425107,0.33346064820196075,0.3688268873949135
0.05036621488721111,0.05034492312502874,0.1005621604800079,0.15052435013401333,0.20010477701304455,0.24917769427725217,0.2976186422425107,0.34530476403748256,0.3921151171955967,0.43793098039167716,0.48263615454526954
0.06295776860901389,0.06291618610288617,0.125583074898612,0.18775235688857972,0.24917769427725217,0.30961569705403064,0.3688268873949135,0.42657664856261784,0.48263615454526954,0.536783276750087,0.5888034641594025
0.07554932233081667,0.07547747402581544,0.15052435013401333,0.2247124869619821,0.2976186422425107,0.3688268873949135,0.43793098039167716,0.5045366833634598,0.5682640117205373,0.6287494019594928,0.6856477857878411
0.08814087605261944,0.08802679536278515,0.1753701695422144,0.26135200729060665,0.34530476403748256,0.42657664856261784,0.5045366833634598,0.5785796034292979,0.6481305553891561,0.7126495605502279,0.7716357071767809
0.10073242977442222,0.1005621604800079,0.20010477701304455,0.2976186422425107,0.3921151171955967,0.48263615454526954,0.5682640117205373,0.6481305553891561,0.721426062979791,0.7874074320098828,0.8454057139893991
0.113323983496225,0.11308158195638689,0.2247124869619821,0.33346064820196075,0.43793098039167716,0.5367832767500869,0.6287494019594928,0.7126495605502279,0.7874074320098828,0.8520639784550065,0.9057897477323569
0.12591553721802778,0.125583074898612,0.24917769427725217,0.3688268873949135,0.48263615454526954,0.5888034641594025,0.6856477857878411,0.7716357071767809,0.8454057139893991,0.905789747732357,0.9518317005438962
0.13850709093983055,0.13806465725585482,0.27348488421589234,0.40366690085010865,0.5261172575270014,0.638490593461515,0.738634558733738,0.8246310394615751,0.8948328965184001,0.9478955141182944,0.9828025540010142
0.15109864466163334,0.15052435013401333,0.2976186422425107,0.43793098039167716,0.5682640117205373,0.6856477857878411,0.7874074320098828,0.8712241129966533,0.935187864818497,0.9778411201111752,0.998211922241088
0.1636901983834361,0.1629601781094557,0.32156366380449597,0.47157023956054667,0.6089695237108067,0.7300881868201455,0.8316881570667579,0.9110531891395905,0.9660614822575389,0.9952424058890388,0.9978158166266278
0.1762817521052389,0.1753701695422144,0.34530476403748256,0.5045366833634598,0.6481305553891561,0.7716357071767809,0.8712241129966533,0.9438090434748282,0.9871407383589128,0.9998761375374373,0.9816205090091248
0.18887330582704165,0.1877523568885797,0.3688268873949134,0.5367832767500869,0.685647785787841,0.8101257201442467,0.9057897477323569,0.9692373665657978,0.998211922241088,0.9916828708252043,0.9498824324218972
0.20146485954884444,0.20010477701304455,0.3921151171955967,0.5682640117205373,0.721426062979791,0.8454057139893991,0.935187864818497,0.9871407383589128,0.999162789313664,0.9707677137899663,0.9031041207743439
0.21405641327064723,0.2124254714995499,0.41515468508319875,0.5989339729675186,0.7553746454047702,0.8773358962676062,0.9592507484145191,0.9973801609105755,0.989983699262992,0.9373989783505013,0.8420262518376188
0.22664796699245,0.2247124869619821,0.43793098039167716,0.6287494019594928,0.7874074320098828,0.9057897477323569,0.9778411201111752,0.9998761375374373,0.9707677137899663,0.8920047382438554,0.767615919511385
0.23923952071425278,0.23696387535387278,0.4604295594107135,0.6576677593733951,0.8174431806207323,0.9306545236515261,0.9908529221018992,0.9946092900116199,0.941709653109075,0.8351673374440167,0.6810513210660664
0.25183107443605557,0.24917769427725217,0.48263615454526954,0.6856477857878411,0.8454057139893991,0.9518317005438962,0.998211922241088,0.9816205090091248,0.9031041207743439,0.7676159195113847,0.5837031018195266
0.26442262815785833,0.26135200729060665,0.5045366833634598,0.7126495605502279,0.8712241129966533,0.9692373665657978,0.9998761375374373,0.9610106366433847,0.8553425168573667,0.6902170737109201,0.47711265263256947
0.2770141818796611,0.27348488421589234,0.5261172575270014,0.738634558733738,0.8948328965184001,0.9828025540010142,0.9958360736663117,0.932939683548695,0.7989090697591519,0.6039637178960706,0.3629677038560652
0.28960573560146385,0.2855744014445554,0.5473641915985787,0.7635657061029861,0.9161721875001766,0.992473512536499,0.9861147791347311,0.8976255865919254,0.734375926887045,0.5099623607753652,0.2430756021699285
0.30219728932326667,0.2976186422425107,0.5682640117205373,0.7874074320098828,0.935187864818497,0.998211922241088,0.9707677137899663,0.8553425168573667,0.6623973539696282,0.40941890696880456,0.11933469344275102
0.31478884304506943,0.3096156970540306,0.5888034641594024,0.8101257201442467,0.9518317005438962,0.9999950454033061,0.9498824324218971,0.8064187510411646,0.5837031018195269,0.3036231869551174,-0.006295735270235435
0.3273803967668722,0.32156366380449597,0.6089695237108067,0.8316881570667579,0.9660614822575389,0.9978158166266278,0.9235780852641798,0.7512341227813666,0.49909100779482957,0.19393241036880846,-0.13182647865890226
0.339971950488675,0.33346064820196075,0.6287494019594928,0.8520639784550065,0.9778411201111752,0.9916828708252043,0.8920047382438554,0.6902170737109201,0.40941890696880456,0.0817537549178218,-0.2552699098092016
0.3525635042104778,0.34530476403748256,0.6481305553891561,0.8712241129966533,0.9871407383589128,0.9816205090091248,0.8553425168573667,0.6238413271286091,0.315595935016074,-0.031473685718586095,-0.3746714518621626
0.36515505793228054,0.35709413348417207,0.667100693336983,0.8891412238670814,0.9939367511286633,0.9676686019947849,0.8138005785571594,0.5526222101128354,0.2185733109904513,-0.14429736342880833,-0.48814052636539484
0.3777466116540833,0.3688268873949134,0.685647785787841,0.9057897477323569,0.998211922241088,0.9498824324218972,0.767615919511385,0.47711265263256947,0.11933469344275147,-0.2552699098092008,-0.5938804882875184
0.3903381653758861,0.3805011655987083,0.7037600710031781,0.9211459312218527,0.9999554089243304,0.9283324757031316,0.7170520225441263,0.3978988947175108,0.01888620765253848,-0.3629677038560645,-0.69021707371092
0.4029297190976889,0.3921151171955967,0.721426062979791,0.935187864818497,0.999162789313664,0.9031041207743439,0.6623973539696282,0.315595935016074,-0.08175375491782157,-0.4660091350120293,-0.775624909768156
